network,code,province,location,digitizer_type,UPT,longitude,latitude
IA,AAFM,NTT,"AlorSelatan,Alor",Kinemetrics-Q330S+2020-GSM,Stageof-Alor,124.7237,-8.2734
IA,AAI,Maluku,"Ambon,Maluku",Guralph-Minimus-2021-Idirect,Stageof-Ambon,128.1943,-3.6871
IA,AAII,Maluku,"Ambon,Maluku",Nanometrics-Centaur-2024-GSM,Stageof-Ambon,128.194,-3.6871
IA,ABJI,JawaTimur,"AsemBagus,Situbondo",Nanometrics-Centaur-2023-GSM,Stageof-Pasuruan,114.234,-7.7956
IA,ABSM,Bengkulu,"Argamakmur,Bengkulu",Nanometrics-Centaur-2019-GSM,Stageof-Kepahiang,102.262,-3.4254
IA,ACBM,JawaBarat,"Ayyu,Ciparay,Bandung",Nanometrics-Centaur-2019-GSM,Stageof-Bandung,107.682833,-7.029754
IA,ACJM,JawaBarat,"Astanajapura,Cirebon",Nanometrics-Centaur-2019-GSM,Stageof-Bandung,108.6151,-6.8033
IA,ALKI,NTT,"Alor,Kep.Alor",Nanometrics-Centaur-2017-GSM,Stageof-Alor,124.5903,-8.1445
IA,ALTI,NTT,AlorTimur,Nanometrics-Centaur-2019-VSATPSN,Stageof-Alor,125.1262,-8.2904
IA,AMPM,PapuaBarat,"Aifat,Maybrat",Kinemetrics-Q330S+2020-GSM,Stageof-Sorong,132.4918,-1.2675
IA,ANAPI,PapuaBarat,"Anggi,PegununganArfak",Quantera-Q8-2023-Idirect,Stageof-Sorong,133.912,-1.323
IA,APSI,SulawesiTengah,Ampana,Guralph-Minimus-2021-GSM,Stageof-Palu,121.6487,-0.9108
IA,APSSI,Bengkulu,"Air Periukan,Seluma",Quantera-Q8-2023-Idirect,Stageof-Kepahiang,102.465,-3.932
IA,ARKPI,Papua,"Arso4,Keerom",Quantera-Q8-2023-Idirect,Stageof-Angkasa,140.592,-2.783
IA,ARMI,Maluku,"Aru,KepulauanAru",Guralph-Minimus+2024-GSM,Stageof-Maluku-Tenggara-Barat,134.219,-5.7749
IA,ARPI,PapuaBarat,"Arso,Keerom",Nanometrics-Centaur-2019-GSM,Stageof-Jayapura,140.7561,-2.9014
IA,ARSKI,JawaTimur,"Arjasa,Sumenep,",Quantera-Q8-2023-Idirect,Stageof-Pasuruan,115.286,-6.85843
IA,ASTTI,NusaTenggaraTimur,"AmanubanSelatan,TimorTengahSelatan",Quantera-Q8-2023-Idirect,Stageof-Kupang,124.299,-10.068
IA,ATKTI,NusaTenggaraTimur,"AmfoangTimur,Kupang",Quantera-Q8-2023-Idirect,Stageof-Kupang,124.09,-9.425
IA,ATNI,NTT,"Atambua,Kab.Belu",Nanometrics-Centaur-2023-GSM,Stageof-Kupang,124.8644,-9.0835
IA,BAJI,JawaTimur,"Socah,Bangkalan",Kinemetrics-Q330S+2019-GSM,Stageof-Pasuruan,112.70853,-7.09057
IA,BAKI,Papua,Biak,Meisei-G1019-2018-Idirect,Stageof-Nabire,136.107,-1.1915
IA,BAPJI,JawaTimur,"Badegan,Ponorogo",Quantera-Q8-2023-Idirect,Stageof-Nganjuk,111.305,-7.912
IA,BASAI,Aceh,"PulauBanyakBarat,AcehSingkil",Quantera-Q8-2023-Idirect,Stageof-Aceh-Selatan,97.407,2.307
IA,BASI,NTT,"Baing,Waingapu",Guralp-Minimus+2024-GSM,Stageof-Sumbawa-Timur,120.5777,-10.2189
IA,BATI,NTT,"Baumata,Kupang",Guralp-Minimus+2022-GSM-CTBTO,Stageof-Kupang,123.6633,-10.2065
IA,BATPI,PapuaBarat,"Babo,TelukBintuni",Quantera-Q8-2023-Idirect,Stageof-Sorong,133.4455,-2.5427
IA,BBBCM,SulawesiSelatan,"BontoBahari,Bulukumba",Kinemetrics-Q330S+2019-Idirect,Stageof-Gowa,120.4481,-5.5772
IA,BBCI,SulawesiTengah,"Biau,Buol",Nanometrics-Centaur-2019-GSM,Stageof-Palu,121.436,1.15803
IA,BBCM,SulawesiSelatan,"Bontocani,Bone",Nanometrics-Centaur-2019-GSM,Stageof-Gowa,120.058,-5.0392
IA,BBJI,JawaBarat,"Bungbulang,Garut",Kinemetrics-Q330S+2020-GSM,Stageof-Bandung,107.815,-7.5557
IA,BBJM,JawaTimur,"Bubulan,Bojonegoro",Nanometrics-Centaur-2019-GSM,Stageof-Nganjuk,111.8099,-7.326
IA,BBKI,KalimantanSelatan,"BanjarbaruSelatan,Banjarbaru",Guralp-Minimus+2024-Idirect,Stageof-Balikpapan,114.8412,-3.46244
IA,BBLSI,SulawesiTengah,"Banggai-Tengah,Banggai-Laut",Nanometrics-Centaur-2022-Idirect,Stageof-Palu,123.52168,-1.637539
IA,BBSI,SulawesiTenggara,"BauBau,Buton",Nanometrics-Centaur-2015-GSM,Stageof-Kendari,122.5695,-5.4885
IA,BDBI,Bali,Badung,Guralph-Minimus-2021-GSM,Stageof-Denpasar,115.208717,-8.520029
IA,BDCM,SulawesiTengah,"BanawaSelatan,Donggala",Nanometrics-Centaur-2019-GSM,Stageof-Palu,119.5867,-0.873
IA,BDMUI,MalukuUtara,"PulauBatangDua,Ternate",Quantera-Q8-2023-Idirect,Stageof-Ternate,126.362,1.322
IA,BESI,Aceh,"Bukit,BenerMeriah",Nanometrics-Centaur-2019-GSM,Stageof-Aceh-Besar,96.8396,4.6355
IA,BESM,Aceh,"Beutong,NaganRaya",Nanometrics-Centaur-2019-GSM,Stageof-Aceh-Selatan,96.6557,4.2171
IA,BGASI,Aceh,"BlangKejeren,Gayo Lues",Quantera-Q8-2023-Idirect,Stageof-Aceh-Selatan,97.315,3.983
IA,BGCI,SulawesiTengah,"Balantak,Banggai",Nanometrics-Centaur-2019-GSM,Stageof-Palu,123.3911,-0.8816
IA,BGCM,SulawesiTengah,"Balaesang,Donggala",Nanometrics-Centaur-2019-GSM,Stageof-Palu,119.858,-0.0804
IA,BHCM,SulawesiTengah,"Bahodopi,Morowali",Nanometrics-Centaur-2019-GSM,Stageof-Palu,122.1259,-2.7965
IA,BKASI,SumateraBarat,"GAWBukitKoto,Agam",Quantera-Q8-2023-Idirect,Stageof-Padang-Panjang,100.318,-0.202
IA,BKB,KalimantanTimur,Balikpapan,Kinemetrics-Q330S+-2023-GSM,Stageof-Balikpapan,116.9048,-1.1073
IA,BKJI,JawaBarat,"Banjar,KotaBanjar",Kinemetrics-Q330S+2020-GSM,Stageof-Bandung,108.5322,-7.3633
IA,BKNI,Riau,Bangkinang,Kinemetrics-Q330-2016-GSM,Stageof-Padang-Panjang,101.0396,0.3264
IA,BKSI,SulawesiSelatan,"Bulukumba,Kab.Bulukumba",Nanometrics-Centaur-2023-GSM,Stageof-Gowa,120.1224,-5.3218
IA,BLCM,SulawesiTengah,"BalaesangTanjung,Donggala",Nanometrics-Centaur-2019-Idirect,Stageof-Palu,119.687,-0.123
IA,BLJI,JawaTimur,Banyuglugur,Nanometrics-Centaur-2023-GSM,Stageof-Pasuruan,113.595,-7.7454
IA,BLSI,Lampung,"Rajabasa,Lampung",Guralp-Minimus+2024-Idirect,Stageof-Lampung-Utara,105.2451,-5.36755
IA,BLSM,SumateraSelatan,"BatukuningLakitanUlu,MusiRawas",Nanometrics-Centaur-2019-GSM,Stageof-Tangerang,102.156,-2.7563
